Item,Qty,Reference(s),Value,LibPart,Footprint,manf#,manf2#
1,1,C1,4.7uF e,Device:CP,Capacitor_SMD:CP_Elec_4x5.8,,
2,11,"C2, C9, C11, C13, C14, C15, C16, C17, C18, C19, C20",100nF,Device:C,Capacitor_SMD:C_0805_2012Metric,,
3,2,"C3, C6",1uF,Device:C,Capacitor_SMD:C_0805_2012Metric,,
4,2,"C4, C5",18pF,Device:C,Capacitor_SMD:C_0805_2012Metric,,
5,1,C7,10nF,Device:C,Capacitor_SMD:C_0805_2012Metric,,
6,1,C8,680uF e,Device:CP,Capacitor_SMD:CP_Elec_10x10.5,,
7,1,C10,220uF e,Device:CP,Capacitor_SMD:CP_Elec_8x6.5,,
8,1,C12,4.7uF 16V e,Device:CP,Capacitor_SMD:CP_Elec_4x5.8,,
9,7,"D1, D4, D5, D6, D7, D9, D10",MBR0520LT1G,Device:D,Britishideas:SOD-123,MBR0520LT1G,
10,1,D2,B360A-13-F,Device:D_Schottky,Diode_SMD:D_SMA,B360A-13-F,
11,1,D3,PWR,Device:LED,LED_SMD:LED_PLCC-2,,
12,2,"D8, D11",RED,Device:LED,LED_SMD:LED_PLCC-2,,
13,1,FB1,MI0805K400R-10,Device:Ferrite_Bead,Resistor_SMD:R_0805_2012Metric,MI0805K400R-10,
15,1,J2,ECU1,Connector:Screw_Terminal_01x08,Britishideas:PhoenixContact_COMBICON_PT_8,1935831,
16,1,J3,USB_B_Mini,DJetECUTester-rescue:USB_B_Mini-Connector,Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal,65100516121,
17,1,J4,12V 4A IN (5.5/2.5),Connector:Barrel_Jack_Switch,Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002,6.94108E+11,
18,1,J5,12V IN,Connector:Screw_Terminal_01x02,Britishideas:PhoenixContact_COMBICON_MKDSN_2,1729018,
19,1,J6,MPS,Connector:Screw_Terminal_01x04,Britishideas:PhoenixContact_COMBICON_PT_4,1935792,
20,2,"J7, J8",Conn_01x01,Connector_Generic:Conn_01x01,Britishideas:tabconnector-63849-1,63849-1,
21,1,J9,ECU2,Connector:Screw_Terminal_01x10,Britishideas:PhoenixContact_COMBICON_PT_10,1935242,
22,1,J10,ECU3,Connector:Screw_Terminal_01x07,Britishideas:PhoenixContact_COMBICON_PT_7,1935213,
25,1,L1,33uH,Device:L,Britishideas:Wurth-WE-LQS-Inductor,74404063330,
26,16,"L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17",680uH,Device:L,Britishideas:Inductor-MSS1210-684KED,MSS1210-684KED,
27,12,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12",MMBT2222ALT1G,Transistor_BJT:MMBT3904,Package_TO_SOT_SMD:SOT-23,MMBT2222ALT1G,
28,6,"R1, R2, R3, R4, R6, R44",1K,Device:R,Resistor_SMD:R_0805_2012Metric,,
29,22,"R5, R9, R10, R13, R14, R19, R20, R23, R24, R25, R26, R27, R32, R33, R34, R35, R36, R38, R40, R42, R52, R53",10k,Device:R,Resistor_SMD:R_0805_2012Metric,,
30,8,"R7, R8, R11, R12, R17, R18, R21, R22",1k,Device:R,Resistor_SMD:R_0805_2012Metric,,
31,7,"R15, R16, R28, R29, R30, R31, R45",100k,Device:R,Resistor_SMD:R_0805_2012Metric,,
32,4,"R37, R39, R41, R43",11k,Device:R,Resistor_SMD:R_0805_2012Metric,,
33,4,"R46, R47, R50, R51",50,Device:R_POT,Britishideas:Potentometer_Bourns_PV36W,PV36W500C01B00,
34,2,"R48, R49",4k2,Device:R,Resistor_SMD:R_0805_2012Metric,,
35,1,R54,2k6,Device:R,Resistor_SMD:R_0805_2012Metric,,
36,1,U1,ATmega328P,BritishIdeas:ATmega328P,Package_QFP:LQFP-32_7x7mm_P0.8mm,ATMEGA328P-AUR,
37,1,U2,LM2596S-5,Regulator_Switching:LM2596S-5,Package_TO_SOT_SMD:TO-263-5_TabPin3,LM2596S-5.0/NOPB,
38,1,U3,FT232RL,Interface_USB:FT232RL,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,FT232RL-REEL,
39,3,"U4, U5, U7",MCP41HV51-502E-ST,BritishIdeas:MCP41HV51-502E-ST,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,MCP41HV51-502E/ST,MCP41HV31-502E/ST
40,1,U6,MCP23S08T-E_SO,BritishIdeas:MCP23S08T-E_SO,Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm,,
41,1,Y1,FA-238 16.0000MB-C3,Device:Crystal_GND24,Britishideas:FA-238,FA-238 16.0000MB-C3,
